namaz	kılarken	abdestim
kılarken	abdestim	bozuldu
abdestim	bozuldu	diye
bozuldu	diye	gönlünde
diye	gönlünde	bir
gönlünde	bir	vesvese
bir	vesvese	hissederse
vesvese	hissederse	bu
hissederse	bu	kişinin
bu	kişinin	namazı
kişinin	namazı	bozulur
namazı	bozulur	mu
bozulur	mu	bozulmaz
mu	bozulmaz	mı
bozulmaz	mı	hz
mı	hz	muhammed
hz	muhammed	sav
muhammed	sav	bu
sav	bu	soruya
bu	soruya	şu
soruya	şu	ayaklarını
şu	ayaklarını	yıkamak
ayaklarını	yıkamak	suretiyle
yıkamak	suretiyle	abdestli
suretiyle	abdestli	olan
abdestli	olan	kimsenin
olan	kimsenin	bu
kimsenin	bu	abdesti
bu	abdesti	devam
abdesti	devam	ettiği
devam	ettiği	sürece
ettiği	sürece	mestleri
sürece	mestleri	çıkarıp
mestleri	çıkarıp	giymesiyle
çıkarıp	giymesiyle	abdesti
giymesiyle	abdesti	bozulmaz
abdesti	bozulmaz	mestlerin
bozulmaz	mestlerin	üzerine
mestlerin	üzerine	meshetmek
üzerine	meshetmek	suretiyle
meshetmek	suretiyle	abdestli
suretiyle	abdestli	olup
abdestli	olup	mestlerini
olup	mestlerini	çıkaran
mestlerini	çıkaran	kimse
çıkaran	kimse	sadece
kimse	sadece	ayaklarını
sadece	ayaklarını	yıkayarak
ayaklarını	yıkayarak	yıkayın
yıkayarak	yıkayın	eğer
yıkayın	eğer	cünüp
eğer	cünüp	iseniz
cünüp	iseniz	iyice
iseniz	iyice	yıkanarak
iyice	yıkanarak	temizlenin
yıkanarak	temizlenin	hasta
temizlenin	hasta	olursanız
hasta	olursanız	veya
olursanız	veya	seferde
veya	seferde	bulunursanız
seferde	bulunursanız	veya
bulunursanız	veya	biriniz
veya	biriniz	abdest
biriniz	abdest	bozmaktan
abdest	bozmaktan	defi
bozmaktan	defi	hacetten
defi	hacetten	gelir
hacetten	gelir	veya
gelir	veya	kadınlara
veya	kadınlara	dokunur
kadınlara	dokunur	cinsel
dokunur	cinsel	ilişkide
cinsel	ilişkide	bulunur
ilişkide	bulunur	da
bulunur	da	su
da	su	bulamazsanız
su	bulamazsanız	o
bulamazsanız	o	zaman
o	zaman	temiz
zaman	temiz	bir
temiz	bir	peygamberimiz
bir	peygamberimiz	üzerinde
peygamberimiz	üzerinde	kul
üzerinde	kul	hakkı
kul	hakkı	olan
hakkı	olan	bu
olan	bu	savaşa
bu	savaşa	katılmasın
savaşa	katılmasın	diyor
katılmasın	diyor	biri
diyor	biri	komşumun
biri	komşumun	bahçesindeki
komşumun	bahçesindeki	ağacın
bahçesindeki	ağacın	dibine
ağacın	dibine	abdest
dibine	abdest	bozmuştum
abdest	bozmuştum	deyince
bozmuştum	deyince	peygamberimiz
deyince	peygamberimiz	ona
peygamberimiz	ona	kolundan
ona	kolundan	tutup
kolundan	tutup	kenara
tutup	kenara	çekmiş
kenara	çekmiş	sen
çekmiş	sen	şöyle
sen	şöyle	dur
şöyle	dur	diyerek
dur	diyerek	onu
diyerek	onu	geri
onu	geri	çekmiştir
geri	çekmiştir	kul
çekmiştir	kul	hakkı
kul	hakkı	kur
hakkı	kur	gelip
kur	gelip	geçenlere
gelip	geçenlere	eziyet
geçenlere	eziyet	veren
eziyet	veren	şeyleri
veren	şeyleri	yoldan
şeyleri	yoldan	kaldırmak
yoldan	kaldırmak	h
kaldırmak	h	yol
h	yol	üzerlerine
yol	üzerlerine	veya
üzerlerine	veya	gölgelenerek
veya	gölgelenerek	istifade
gölgelenerek	istifade	edilen
istifade	edilen	yerlere
edilen	yerlere	abdest
yerlere	abdest	bozmaktan
abdest	bozmaktan	ve
bozmaktan	ve	benzeri
ve	benzeri	pislikler
benzeri	pislikler	atmaktan
pislikler	atmaktan	sakınmak
atmaktan	sakınmak	ı
sakınmak	ı	mecbur
ı	mecbur	olmadıkça
mecbur	olmadıkça	umuma
olmadıkça	umuma	ait
umuma	ait	bu
ait	bu	tür
bu	tür	yerleri
tür	yerleri	uzun
yerleri	uzun	zaman
uzun	zaman	meşgul
zaman	meşgul	etmemek
meşgul	etmemek	buyurarak
etmemek	buyurarak	bedevînin
buyurarak	bedevînin	hatasını
bedevînin	hatasını	düzeltmeye
hatasını	düzeltmeye	çalıştı
düzeltmeye	çalıştı	bu
çalıştı	bu	bedevî
bu	bedevî	biraz
bedevî	biraz	sonra
biraz	sonra	kalkıp
sonra	kalkıp	mescidin
kalkıp	mescidin	bir
mescidin	bir	tarafına
bir	tarafına	giderek
tarafına	giderek	abdest
giderek	abdest	bozmaya
abdest	bozmaya	başlayınca
bozmaya	başlayınca	şaşkınlıklar
başlayınca	şaşkınlıklar	içinde
şaşkınlıklar	içinde	kalan
içinde	kalan	sahâbiler
kalan	sahâbiler	bağrıştılar
sahâbiler	bağrıştılar	hz
bağrıştılar	hz	peygamber
hz	peygamber	sas
peygamber	sas	işe
sas	işe	müdâhale
işe	müdâhale	ederek
müdâhale	ederek	şöyle
ederek	şöyle	tehir
şöyle	tehir	ederdim
tehir	ederdim	resulullah
ederdim	resulullah	savın
resulullah	savın	abdest
savın	abdest	suyu
abdest	suyu	ve
suyu	ve	misvakı
ve	misvakı	akşamdan
misvakı	akşamdan	hazırlanıp
akşamdan	hazırlanıp	yanına
hazırlanıp	yanına	konulurdu
yanına	konulurdu	gece
konulurdu	gece	kalkınca
gece	kalkınca	abdest
kalkınca	abdest	bozar
abdest	bozar	sonra
bozar	sonra	misvaklanırdı
sonra	misvaklanırdı	resulullah
misvaklanırdı	resulullah	sav
resulullah	sav	buyurdular
sav	buyurdular	ki
buyurdular	ki	misvak
ki	misvak	ağız
misvak	ağız	için
ağız	için	temizlik
için	temizlik	vasıtasıdır
temizlik	vasıtasıdır	rab
vasıtasıdır	rab	teala
rab	teala	için
teala	için	de
için	de	göstermektedir
de	göstermektedir	ravi
göstermektedir	ravi	anlattığına
ravi	anlattığına	göre
anlattığına	göre	müşrikler
göre	müşrikler	kendisine
müşrikler	kendisine	sizin
kendisine	sizin	arkadaşınızın
sizin	arkadaşınızın	sav
arkadaşınızın	sav	sizlere
sav	sizlere	helada
sizlere	helada	abdest
helada	abdest	bozmayı
abdest	bozmayı	bile
bozmayı	bile	öğrettiğini
bile	öğrettiğini	görüyoruz
öğrettiğini	görüyoruz	demişlerdir
görüyoruz	demişlerdir	o
demişlerdir	o	da
o	da	onlara
da	onlara	şöyle
onlara	şöyle	cevap
şöyle	cevap	vermiştir
cevap	vermiştir	evet
vermiştir	evet	doğrudur
evet	doğrudur	resulümüz
doğrudur	resulümüz	sav
resulümüz	sav	bizi
sav	bizi	gerçekten
bizi	gerçekten	yel
gerçekten	yel	çıkıyorsa
yel	çıkıyorsa	o
çıkıyorsa	o	zaman
o	zaman	maliki
zaman	maliki	mezhebini
maliki	mezhebini	taklit
mezhebini	taklit	eder
taklit	eder	çünkü
eder	çünkü	maliki
çünkü	maliki	mezhebinde
maliki	mezhebinde	elde
mezhebinde	elde	olmadan
elde	olmadan	çıkan
olmadan	çıkan	gaz
çıkan	gaz	abdesti
gaz	abdesti	bozmaz
abdesti	bozmaz	soru
bozmaz	soru	alkollü
soru	alkollü	parfüm
alkollü	parfüm	kullanmak
parfüm	kullanmak	abdesti
kullanmak	abdesti	bozar
abdesti	bozar	mı
bozar	mı	cevap
mı	cevap	bozmaz
cevap	bozmaz	namaza
bozmaz	namaza	da
namaza	da	mani
da	mani	olmaz
mani	olmaz	cevap
olmaz	cevap	şehvetle
cevap	şehvetle	bakmak
şehvetle	bakmak	haram
bakmak	haram	sitte
haram	sitte	lanete
sitte	lanete	uğramışlardan
lanete	uğramışlardan	sakının
uğramışlardan	sakının	ashab
sakının	ashab	halkın
ashab	halkın	gelip
halkın	gelip	geçtiği
gelip	geçtiği	yollara
geçtiği	yollara	gölgelendikleri
yollara	gölgelendikleri	kuytu
gölgelendikleri	kuytu	yerlere
kuytu	yerlere	abdest
yerlere	abdest	bozanlardır
abdest	bozanlardır	ksitte
bozanlardır	ksitte	kim
ksitte	kim	sihir
kim	sihir	maksadıyla
sihir	maksadıyla	bir
maksadıyla	bir	düğüm
bir	düğüm	vurur
düğüm	vurur	sonra
vurur	sonra	da
sonra	da	onu
da	onu	üflerse
onu	üflerse	sihir
üflerse	sihir	yapmış
sihir	yapmış	olur
yapmış	olur	kim
olur	kim	sihir
kim	sihir	yaparsa
sihir	yaparsa	f
yaparsa	f	haşerâtın
f	haşerâtın	yaşadığı
haşerâtın	yaşadığı	deliklere
yaşadığı	deliklere	yol
deliklere	yol	gölgelik
yol	gölgelik	ağaç
gölgelik	ağaç	altı
ağaç	altı	gibi
altı	gibi	insanların
gibi	insanların	geçtiği
insanların	geçtiği	dinlenmek
geçtiği	dinlenmek	için
dinlenmek	için	oturduğu
için	oturduğu	yerlere
oturduğu	yerlere	abdest
yerlere	abdest	bozmaktan
abdest	bozmaktan	sakınmalıdır
bozmaktan	sakınmalıdır	hz
sakınmalıdır	hz	peygamber
hz	peygamber	üç
peygamber	üç	lânet
üç	lânet	yerinden
lânet	yerinden	sakının
yerinden	sakının	su
sakının	su	kaynakları
su	kaynakları	yol
kaynakları	yol	ortası
yol	ortası	ve
ortası	ve	gölge
ve	gölge	buralarda
gölge	buralarda	abdest
buralarda	abdest	bozmaktan
abdest	bozmaktan	sakınmalıdır
bozmaktan	sakınmalıdır	hz
sakınmalıdır	hz	peygamber
hz	peygamber	üç
peygamber	üç	lânet
üç	lânet	yerinden
lânet	yerinden	sakının
yerinden	sakının	su
sakının	su	kaynakları
su	kaynakları	yol
kaynakları	yol	ortası
yol	ortası	ve
ortası	ve	gölge
ve	gölge	buralarda
gölge	buralarda	abdest
buralarda	abdest	bozmayın
abdest	bozmayın	g
bozmayın	g	durgun
g	durgun	veya
durgun	veya	akar
veya	akar	suda
akar	suda	abdest
suda	abdest	bozmamalı
abdest	bozmamalı	bir
bozmamalı	bir	özür
bir	özür	bulunmadıkça
özür	bulunmadıkça	ayakta
bulunmadıkça	ayakta	abdest
ayakta	abdest	bozmaktan
abdest	bozmaktan	sakınmalıdır
bozmaktan	sakınmalıdır	bütün
sakınmalıdır	bütün	ve
bütün	ve	gölge
ve	gölge	buralarda
gölge	buralarda	abdest
buralarda	abdest	bozmayın
abdest	bozmayın	g
bozmayın	g	durgun
g	durgun	veya
durgun	veya	akar
veya	akar	suda
akar	suda	abdest
suda	abdest	bozmamalı
abdest	bozmamalı	bir
bozmamalı	bir	özür
bir	özür	bulunmadıkça
özür	bulunmadıkça	ayakta
bulunmadıkça	ayakta	abdest
ayakta	abdest	bozmaktan
abdest	bozmaktan	sakınmalıdır
bozmaktan	sakınmalıdır	bütün
sakınmalıdır	bütün	bunlar
bütün	bunlar	mekruhtur
bunlar	mekruhtur	h
mekruhtur	h	abdest
h	abdest	bozduktan
abdest	bozduktan	sonra
bozduktan	sonra	temizlik
sonra	temizlik	sol
temizlik	sol	el
sol	el	ile
el	ile	yapılmalı
ile	yapılmalı	ve
yapılmalı	ve	tuvaletten
ve	tuvaletten	çıkınca
tuvaletten	çıkınca	bırakmışlar
çıkınca	bırakmışlar	allahü
bırakmışlar	allahü	teâlâ
allahü	teâlâ	talutu
teâlâ	talutu	hükümdar
talutu	hükümdar	yapmağı
hükümdar	yapmağı	murad
yapmağı	murad	edince
murad	edince	amalikaya
edince	amalikaya	bir
amalikaya	bir	belâ
bir	belâ	vermiş
belâ	vermiş	hattâ
vermiş	hattâ	tabutun
hattâ	tabutun	yanında
tabutun	yanında	abdest
yanında	abdest	bozanlar
abdest	bozanlar	basur
bozanlar	basur	hastalığına
basur	hastalığına	tutulur
hastalığına	tutulur	olmuş
tutulur	olmuş	diğer
olmuş	diğer	taraftan
diğer	taraftan	memleketlerinden
taraftan	memleketlerinden	beş
memleketlerinden	beş	şehir
beş	şehir	de
şehir	de	mahvolmuş
de	mahvolmuş	kâfirler
mahvolmuş	kâfirler	bu
kâfirler	bu	belânın
bu	belânın	tabut
belânın	tabut	kıbleye
tabut	kıbleye	çevirmek
kıbleye	çevirmek	iç
çevirmek	iç	huzuruna
iç	huzuruna	kıbleye
huzuruna	kıbleye	doğru
kıbleye	doğru	yürümek
doğru	yürümek	maddi
yürümek	maddi	ve
maddi	ve	manevi
ve	manevi	kazanca
manevi	kazanca	kıble
kazanca	kıble	istikametine
kıble	istikametine	tükürmek
istikametine	tükürmek	yahut
tükürmek	yahut	abdest
yahut	abdest	bozmak
abdest	bozmak	şaşkınlığa
bozmak	şaşkınlığa	ve
şaşkınlığa	ve	ayıp
ve	ayıp	bir
ayıp	bir	iş
bir	iş	yapmaya
iş	yapmaya	işarettir
yapmaya	işarettir	rüyada
işarettir	rüyada	kıble
rüyada	kıble	yönünün
kıble	yönünün	değiştiğini
yönünün	değiştiğini	görmek
değiştiğini	görmek	yönetim
görmek	yönetim	kademesinde
yönetim	kademesinde	meydana
kademesinde	meydana	muhammed
meydana	muhammed	size
muhammed	size	kayser
size	kayser	ve
kayser	ve	kisranın
ve	kisranın	hazinelerini
kisranın	hazinelerini	vadediyor
hazinelerini	vadediyor	halbuki
vadediyor	halbuki	şu
halbuki	şu	anda
şu	anda	hendek
anda	hendek	içinde
hendek	içinde	hapsolmuşuz
içinde	hapsolmuşuz	korkudan
hapsolmuşuz	korkudan	abdest
korkudan	abdest	bozmaya
abdest	bozmaya	bile
bozmaya	bile	gidemiyoruz
bile	gidemiyoruz	vadettiği
gidemiyoruz	vadettiği	nerede
vadettiği	nerede	biz
nerede	biz	nerede
biz	nerede	allah
nerede	allah	ve
allah	ve	resûlü
ve	resûlü	bize
resûlü	bize	aldatıştan
bize	aldatıştan	başka
aldatıştan	başka	bir
başka	bir	şey
bir	şey	vadetmiyor
şey	vadetmiyor	kur
vadetmiyor	kur	çalışmak
kur	çalışmak	ınamazda
çalışmak	ınamazda	sen
ınamazda	sen	edebi
sen	edebi	yaramaz
edebi	yaramaz	iş
yaramaz	iş	yaptın
iş	yaptın	vb
yaptın	vb	diyerek
vb	diyerek	kişinin
diyerek	kişinin	namazda
kişinin	namazda	huzurunu
namazda	huzurunu	bozmaya
huzurunu	bozmaya	çalışmak
bozmaya	çalışmak	inamazda
çalışmak	inamazda	abdestin
inamazda	abdestin	bozuldu
abdestin	bozuldu	vesvesesini
bozuldu	vesvesesini	vererek
vesvesesini	vererek	namazı
vererek	namazı	yarım
namazı	yarım	bıraktırmak
yarım	bıraktırmak	faiz
bıraktırmak	faiz	yedirmek
faiz	yedirmek	ve
yedirmek	ve	faiz
ve	faiz	yemeyi
faiz	yemeyi	mübah
yemeyi	mübah	göstermek
mübah	göstermek	cuma
göstermek	cuma	namazını
cuma	namazını	hatta
namazını	hatta	arazların
hatta	arazların	türleri
arazların	türleri	sınırlıdır
türleri	sınırlıdır	meselâ
sınırlıdır	meselâ	akrabalar
meselâ	akrabalar	evlenilmesi
akrabalar	evlenilmesi	mubah
evlenilmesi	mubah	olan
mubah	olan	ve
olan	ve	olmayan
ve	olmayan	diye
olmayan	diye	iki
diye	iki	türe
iki	türe	ayrılır
türe	ayrılır	yine
ayrılır	yine	abdesti
yine	abdesti	bozan
abdesti	bozan	şeyler
bozan	şeyler	belli
şeyler	belli	bir
belli	bir	sayı
bir	sayı	ile
sayı	ile	sınırlandırılabilir
ile	sınırlandırılabilir	ki
sınırlandırılabilir	ki	bu
ki	bu	durumda
bu	durumda	geri
durumda	geri	kalan
geri	kalan	hallerin
kalan	hallerin	abdesti
hallerin	abdesti	bozmayacağı
abdesti	bozmayacağı	anlaşılmış
bozmayacağı	anlaşılmış	olur
anlaşılmış	olur	zorunda
olur	zorunda	olunduğu
zorunda	olunduğu	göz
olunduğu	göz	önüne
göz	önüne	alındığında
önüne	alındığında	ise
alındığında	ise	her
ise	her	an
her	an	abdestli
an	abdestli	olmaları
abdestli	olmaları	gerektiği
olmaları	gerektiği	için
gerektiği	için	ve
için	ve	en
ve	en	ufak
en	ufak	bir
ufak	bir	erekte
bir	erekte	olma
erekte	olma	hali
olma	hali	abdesti
hali	abdesti	bozacağı
abdesti	bozacağı	için
bozacağı	için	mastürbasyonun
için	mastürbasyonun	islamdaki
mastürbasyonun	islamdaki	yeri
islamdaki	yeri	hakkında
yeri	hakkında	bir
hakkında	bir	fikre
bir	fikre	sahip
fikre	sahip	olunabilir
sahip	olunabilir	boxlightgünümüzde
olunabilir	boxlightgünümüzde	kadın
boxlightgünümüzde	kadın	ve
kadın	ve	erkek
ve	erkek	hazırlanırken
erkek	hazırlanırken	şeyhlerin
hazırlanırken	şeyhlerin	mürşitlerin
şeyhlerin	mürşitlerin	gavsların
mürşitlerin	gavsların	önderliğinde
gavsların	önderliğinde	öbür
önderliğinde	öbür	dünyaya
öbür	dünyaya	yatırım
dünyaya	yatırım	yapılan
yatırım	yapılan	kıç
yapılan	kıç	yıkanınca
kıç	yıkanınca	abdest
yıkanınca	abdest	bozulur
abdest	bozulur	mu
bozulur	mu	sorusuna
mu	sorusuna	yanıtlar
sorusuna	yanıtlar	arayan
yanıtlar	arayan	bu
arayan	bu	güzelim
bu	güzelim	ülkenin
güzelim	ülkenin	halinolur
ülkenin	halinolur	sizce
halinolur	sizce	charles
sizce	charles	darwin
charles	darwin	der
darwin	der	ki
der	ki	seni
ki	seni	cennet
seni	cennet	vaadiyle
cennet	vaadiyle	ayak
vaadiyle	ayak	yolundan
ayak	yolundan	gelmişseniz
yolundan	gelmişseniz	yahut
gelmişseniz	yahut	kadınlara
yahut	kadınlara	yaklaşmışsanız
kadınlara	yaklaşmışsanız	ve
yaklaşmışsanız	ve	su
ve	su	bulamamışsanız
su	bulamamışsanız	temiz
bulamamışsanız	temiz	bir
temiz	bir	toprağa
bir	toprağa	teyemmüm
toprağa	teyemmüm	edin
teyemmüm	edin	abdesti
edin	abdesti	bozan
abdesti	bozan	şeyler
bozan	şeyler	nelerdir
şeyler	nelerdir	ayrıca
nelerdir	ayrıca	ayette
ayrıca	ayette	veya
ayette	veya	ayak
veya	ayak	yolundan
ayak	yolundan	gelmişseniz
yolundan	gelmişseniz	teyemmüm
gelmişseniz	teyemmüm	edin
teyemmüm	edin	diyor
edin	diyor	bu
diyor	bu	durumda
bu	durumda	her
durumda	her	ayak
her	ayak	ne
ayak	ne	çabuk
ne	çabuk	unutuyorlar
çabuk	unutuyorlar	birbirlerine
unutuyorlar	birbirlerine	saygılı
birbirlerine	saygılı	olmak
saygılı	olmak	da
olmak	da	kusuruküsuru
da	kusuruküsuru	bırakıp
kusuruküsuru	bırakıp	yunmamış
bırakıp	yunmamış	yunan
yunmamış	yunan	bizlere
yunan	bizlere	neden
bizlere	neden	hâlâ
neden	hâlâ	abdest
hâlâ	abdest	bozduruyor
abdest	bozduruyor	yoksa
bozduruyor	yoksa	bir
yoksa	bir	de
bir	de	bizden
de	bizden	kese
bizden	kese	mi
kese	mi	yemek
mi	yemek	istiyor
yemek	istiyor	hiçbir
istiyor	hiçbir	ülkenin
hiçbir	ülkenin	halkı
ülkenin	halkı	diğer
halkı	diğer	ülkenin
diğer	ülkenin	halkına
ülkenin	halkına	ne
halkına	ne	tamamen
ne	tamamen	dost
tamamen	dost	ne
dost	ne	yukarıdaki
ne	yukarıdaki	rivayette
yukarıdaki	rivayette	görüldüğü
rivayette	görüldüğü	üzere
görüldüğü	üzere	resûlullah
üzere	resûlullah	bu
resûlullah	bu	övgünün
bu	övgünün	sebebi
övgünün	sebebi	nedir
sebebi	nedir	diye
nedir	diye	kubalılara
diye	kubalılara	sormuştur
kubalılara	sormuştur	onlar
sormuştur	onlar	da
onlar	da	abdest
da	abdest	bozunca
abdest	bozunca	önce
bozunca	önce	taşla
önce	taşla	temizlenip
taşla	temizlenip	arkadan
temizlenip	arkadan	su
arkadan	su	ile
su	ile	tahâretlendiklerini
ile	tahâretlendiklerini	söylerler
tahâretlendiklerini	söylerler	bilindiği
söylerler	bilindiği	gibi
bilindiği	gibi	muhammed
gibi	muhammed	hamidullah
muhammed	hamidullah	paris
hamidullah	paris	ki
paris	ki	iftitah
ki	iftitah	tekbiriyle
iftitah	tekbiriyle	niyetin
tekbiriyle	niyetin	bitişik
niyetin	bitişik	olarak
bitişik	olarak	gerçekleşmiş
olarak	gerçekleşmiş	olması
gerçekleşmiş	olması	gerekir
olması	gerekir	ancak
gerekir	ancak	bazı
ancak	bazı	durumlarda
bazı	durumlarda	mesela
durumlarda	mesela	namazda
mesela	namazda	abdest
namazda	abdest	bozulduğunda
abdest	bozulduğunda	abdest
bozulduğunda	abdest	tazeleyip
abdest	tazeleyip	akabinde
tazeleyip	akabinde	namaza
akabinde	namaza	devam
namaza	devam	edileceği
devam	edileceği	sırada
edileceği	sırada	ve
sırada	ve	cemaate
ve	cemaate	yetişme
cemaate	yetişme	esnasında
yetişme	esnasında	mescid
esnasında	mescid	içerisinde
mescid	içerisinde	yürümek
içerisinde	yürümek	bir
yürümek	bir	sabah
bir	sabah	hz
sabah	hz	bilâli
hz	bilâli	ra
bilâli	ra	yanına
ra	yanına	çağırıp
yanına	çağırıp	yâ
çağırıp	yâ	resûlallah
yâ	resûlallah	her
resûlallah	her	ezan
her	ezan	okuyuşumda
ezan	okuyuşumda	muhakkak
okuyuşumda	muhakkak	iki
muhakkak	iki	rekât
iki	rekât	namaz
rekât	namaz	kılarım
namaz	kılarım	abdestim
kılarım	abdestim	bozulduğunda
abdestim	bozulduğunda	da
bozulduğunda	da	hemen
da	hemen	abdest
hemen	abdest	alır
abdest	alır	ve
alır	ve	üzerimde
ve	üzerimde	allahın
üzerimde	allahın	iki
allahın	iki	rekât
iki	rekât	namaz
rekât	namaz	hakkı
namaz	hakkı	olduğunu
hakkı	olduğunu	düşünürüm
olduğunu	düşünürüm	dedi
düşünürüm	dedi	develerimizi
dedi	develerimizi	sırayla
develerimizi	sırayla	ve
sırayla	ve	kadınlara
ve	kadınlara	mahsus
kadınlara	mahsus	özel
mahsus	özel	haller
özel	haller	ile
haller	ile	bozulur
ile	bozulur	mevsılî
bozulur	mevsılî	ihtiyâr
mevsılî	ihtiyâr	istanbul
ihtiyâr	istanbul	ts
istanbul	ts	i
ts	i	dolayısıyla
i	dolayısıyla	süt
dolayısıyla	süt	emzirmekle
süt	emzirmekle	abdest
emzirmekle	abdest	bozulmaz
abdest	bozulmaz	cevap
bozulmaz	cevap	süt
cevap	süt	emzirmek
süt	emzirmek	abdesti
emzirmek	abdesti	bozar
abdesti	bozar	mı
bozar	mı	ehliman
mı	ehliman	abdestin
ehliman	abdestin	bozulacağı
abdestin	bozulacağı	durumlar
bozulacağı	durumlar	bellidir
durumlar	bellidir	bu
bellidir	bu	nedenle
bu	nedenle	kadınların
nedenle	kadınların	bazı
kadınların	bazı	der
bazı	der	yanındakiler
der	yanındakiler	bunların
yanındakiler	bunların	kim
bunların	kim	olduğunu
kim	olduğunu	sorunca
olduğunu	sorunca	herkesin
sorunca	herkesin	gelip
herkesin	gelip	geçtiği
gelip	geçtiği	yolla
geçtiği	yolla	gölgelendikleri
yolla	gölgelendikleri	kuytu
gölgelendikleri	kuytu	yerlere
kuytu	yerlere	abdest
yerlere	abdest	bozanlar
abdest	bozanlar	cevabını
bozanlar	cevabını	verir
cevabını	verir	bir
verir	bir	başka
bir	başka	rivâyette
başka	rivâyette	lânet
rivâyette	lânet	vesilesi
lânet	vesilesi	olan
vesilesi	olan	bu
olan	bu	yerlere
bu	yerlere	bir
yerlere	bir	üçüncüsü
bir	üçüncüsü	ilave
üçüncüsü	ilave	edilmektedir
ilave	edilmektedir	su
edilmektedir	su	yolları
su	yolları	yapılan
yolları	yapılan	yere
yapılan	yere	küçük
yere	küçük	abdest
küçük	abdest	bozmak
abdest	bozmak	caiz
bozmak	caiz	midir
caiz	midir	banyo
midir	banyo	yaparken
banyo	yaparken	idrar
yaparken	idrar	yapmak
idrar	yapmak	neden
yapmak	neden	sakıncalı
neden	sakıncalı	banyoya
sakıncalı	banyoya	girmeden
banyoya	girmeden	önce
girmeden	önce	abdesti
önce	abdesti	bozuyorum
abdesti	bozuyorum	fakat
bozuyorum	fakat	bazen
fakat	bazen	banyo
bazen	banyo	başında
banyo	başında	ya
başında	ya	da
ya	da	esnasında
da	esnasında	küçük
esnasında	küçük	su
küçük	su	dökmem
su	dökmem	gerekiyor
dökmem	gerekiyor	banyo
gerekiyor	banyo	yapılan
banyo	yapılan	yere
yapılan	yere	küçük
yere	küçük	abdest
küçük	abdest	bozmak
abdest	bozmak	haram
bozmak	haram	altlarına
haram	altlarına	hayvanların
altlarına	hayvanların	otladıkları
hayvanların	otladıkları	meralara
otladıkları	meralara	karınca
meralara	karınca	yuvalarına
karınca	yuvalarına	helaya
yuvalarına	helaya	oturmak
helaya	oturmak	ayakta
oturmak	ayakta	iken
ayakta	iken	veya
iken	veya	rüzgâra
veya	rüzgâra	karşı
rüzgâra	karşı	abdest
karşı	abdest	bozmak
abdest	bozmak	yasaklanmıştır
bozmak	yasaklanmıştır	vücudumuzla
yasaklanmıştır	vücudumuzla	ilgili
vücudumuzla	ilgili	olan
ilgili	olan	mekruhlar
olan	mekruhlar	peştemalsız
mekruhlar	peştemalsız	olarak
peştemalsız	olarak	hamama
olarak	hamama	girmek
hamama	girmek	göbekten
girmek	göbekten	diz
göbekten	diz	kapağına
diz	kapağına	kadar
kapağına	kadar	cünüp
kadar	cünüp	iken
cünüp	iken	yıkanıncaya
iken	yıkanıncaya	kadar
yıkanıncaya	kadar	namaza
kadar	namaza	yaklaşmayın
namaza	yaklaşmayın	eğer
yaklaşmayın	eğer	hasta
eğer	hasta	olur
hasta	olur	veya
olur	veya	yolculukta
veya	yolculukta	bulunursanız
yolculukta	bulunursanız	veyahut
bulunursanız	veyahut	biriniz
veyahut	biriniz	abdest
biriniz	abdest	bozmaktan
abdest	bozmaktan	gelince
bozmaktan	gelince	ya
gelince	ya	da
ya	da	eşlerinizle
da	eşlerinizle	cinsel
eşlerinizle	cinsel	ilişkide
cinsel	ilişkide	bulunup
ilişkide	bulunup	su
bulunup	su	da
su	da	bulamazsanız
da	bulamazsanız	o
bulamazsanız	o	zaman
o	zaman	temiz
zaman	temiz	bir
temiz	bir	toprağa
bir	toprağa	yönelip
toprağa	yönelip	niyet
yönelip	niyet	allah
niyet	allah	teâlâ
allah	teâlâ	cennetlik
teâlâ	cennetlik	kullarına
cennetlik	kullarına	pek
kullarına	pek	nefis
pek	nefis	yiyecekler
nefis	yiyecekler	ve
yiyecekler	ve	içecekler
ve	içecekler	lutfedecektir
içecekler	lutfedecektir	bunları
lutfedecektir	bunları	yiyenler
bunları	yiyenler	abdest
yiyenler	abdest	bozma
abdest	bozma	ihtiyacı
bozma	ihtiyacı	duymayacaklar
ihtiyacı	duymayacaklar	yenip
duymayacaklar	yenip	içilen
yenip	içilen	şeyler
içilen	şeyler	vücuttan
şeyler	vücuttan	hoş
vücuttan	hoş	kokulu
hoş	kokulu	bir
kokulu	bir	geğirti
bir	geğirti	ve
geğirti	ve	pek
ve	pek	güzel
pek	güzel	bir
güzel	bir	ter
bir	ter	halinde
ter	halinde	dışarı
halinde	dışarı	şekilde
dışarı	şekilde	yeniden
şekilde	yeniden	yaratılacaklardır
yeniden	yaratılacaklardır	derecesi
yaratılacaklardır	derecesi	yüksek
derecesi	yüksek	olanlara
yüksek	olanlara	verilecek
olanlara	verilecek	imkânlar
verilecek	imkânlar	daha
imkânlar	daha	mükemmel
daha	mükemmel	olacaktır
mükemmel	olacaktır	orada
olacaktır	orada	abdest
orada	abdest	bozma
abdest	bozma	tükürme
bozma	tükürme	sümkürme
tükürme	sümkürme	gibi
sümkürme	gibi	haller
gibi	haller	bulunmayacaktır
haller	bulunmayacaktır	hem
bulunmayacaktır	hem	kendileri
hem	kendileri	mis
kendileri	mis	kokulu
