gaz	çıkarma	ve	şişkinlik
çıkarma	ve	şişkinlik	hissinin
ve	şişkinlik	hissinin	altında
şişkinlik	hissinin	altında	yatan
hissinin	altında	yatan	mesane
altında	yatan	mesane	bölgesi
yatan	mesane	bölgesi	kolay
mesane	bölgesi	kolay	bir
bölgesi	kolay	bir	şekilde
kolay	bir	şekilde	görüntülenebilir
bir	şekilde	görüntülenebilir	bu
şekilde	görüntülenebilir	bu	yol
görüntülenebilir	bu	yol	mesanede
bu	yol	mesanede	bulunan
yol	mesanede	bulunan	bir
mesanede	bulunan	bir	hastalık
bulunan	bir	hastalık	sonucu
bir	hastalık	sonucu	oluşan
hastalık	sonucu	oluşan	sürekli
sonucu	oluşan	sürekli	gaz
oluşan	sürekli	gaz	çıkarmak
sürekli	gaz	çıkarmak	ve
gaz	çıkarmak	ve	karın
çıkarmak	ve	karın	ağrısı
ve	karın	ağrısı	nedenlerini
karın	ağrısı	nedenlerini	doğru
ağrısı	nedenlerini	doğru	olarak
nedenlerini	doğru	olarak	teşhis
doğru	olarak	teşhis	eder
olarak	teşhis	eder	sürekli
teşhis	eder	sürekli	gaz
eder	sürekli	gaz	çıkarmak
sürekli	gaz	çıkarmak	iyi
gaz	çıkarmak	iyi	midir
çıkarmak	iyi	midir	sorusuna
iyi	midir	sorusuna	verilen
midir	sorusuna	verilen	yanıtlar
sorusuna	verilen	yanıtlar	kimi
verilen	yanıtlar	kimi	bir
yanıtlar	kimi	bir	hastalık
kimi	bir	hastalık	sonucu
bir	hastalık	sonucu	oluşan
hastalık	sonucu	oluşan	sürekli
sonucu	oluşan	sürekli	gaz
oluşan	sürekli	gaz	çıkarmak
sürekli	gaz	çıkarmak	ve
gaz	çıkarmak	ve	karın
çıkarmak	ve	karın	ağrısı
ve	karın	ağrısı	nedenlerini
karın	ağrısı	nedenlerini	doğru
ağrısı	nedenlerini	doğru	olarak
nedenlerini	doğru	olarak	teşhis
doğru	olarak	teşhis	eder
olarak	teşhis	eder	sürekli
teşhis	eder	sürekli	gaz
eder	sürekli	gaz	çıkarmak
sürekli	gaz	çıkarmak	iyi
gaz	çıkarmak	iyi	midir
çıkarmak	iyi	midir	sorusuna
iyi	midir	sorusuna	verilen
midir	sorusuna	verilen	yanıtlar
sorusuna	verilen	yanıtlar	kimi
verilen	yanıtlar	kimi	zaman
yanıtlar	kimi	zaman	olumlu
kimi	zaman	olumlu	olurken
zaman	olumlu	olurken	kimi
olumlu	olurken	kimi	zaman
olurken	kimi	zaman	ise
kimi	zaman	ise	olumsuz
zaman	ise	olumsuz	olur
ise	olumsuz	olur	eğer
olumsuz	olur	eğer	ki
olur	eğer	ki	gaz
eğer	ki	gaz	çıkarımı
ki	gaz	çıkarımı	ağrılı
gaz	çıkarımı	ağrılı	gaz
çıkarımı	ağrılı	gaz	çıkarmak
ağrılı	gaz	çıkarmak	iyi
gaz	çıkarmak	iyi	midir
çıkarmak	iyi	midir	sorusuna
iyi	midir	sorusuna	verilen
midir	sorusuna	verilen	yanıtlar
sorusuna	verilen	yanıtlar	kimi
verilen	yanıtlar	kimi	zaman
yanıtlar	kimi	zaman	olumlu
kimi	zaman	olumlu	olurken
zaman	olumlu	olurken	kimi
olumlu	olurken	kimi	zaman
olurken	kimi	zaman	ise
kimi	zaman	ise	olumsuz
zaman	ise	olumsuz	olur
ise	olumsuz	olur	eğer
olumsuz	olur	eğer	ki
olur	eğer	ki	gaz
eğer	ki	gaz	çıkarımı
ki	gaz	çıkarımı	ağrılı
gaz	çıkarımı	ağrılı	sancılı
çıkarımı	ağrılı	sancılı	ve
ağrılı	sancılı	ve	defalarca
sancılı	ve	defalarca	kez
ve	defalarca	kez	tekrarlanıyorsa
defalarca	kez	tekrarlanıyorsa	o
kez	tekrarlanıyorsa	o	zaman
tekrarlanıyorsa	o	zaman	bunun
o	zaman	bunun	tedavi
zaman	bunun	tedavi	edilmesi
bunun	tedavi	edilmesi	gerekir
tedavi	edilmesi	gerekir	bu
edilmesi	gerekir	bu	durumun
gerekir	bu	durumun	tedavisi
bu	durumun	tedavisi	ise
durumun	tedavisi	ise	şu
tedavisi	ise	şu	bir
ise	şu	bir	tanesidir
şu	bir	tanesidir	toplumdan
bir	tanesidir	toplumdan	dışlanan
tanesidir	toplumdan	dışlanan	bu
toplumdan	dışlanan	bu	kişilerin
dışlanan	bu	kişilerin	psikolojileri
bu	kişilerin	psikolojileri	bozulur
kişilerin	psikolojileri	bozulur	bu
psikolojileri	bozulur	bu	nedenle
bozulur	bu	nedenle	psikolojik
bu	nedenle	psikolojik	olarak
nedenle	psikolojik	olarak	da
psikolojik	olarak	da	fazla
olarak	da	fazla	gaz
da	fazla	gaz	çıkarmak
fazla	gaz	çıkarmak	insanı
gaz	çıkarmak	insanı	yorar
çıkarmak	insanı	yorar	süt
insanı	yorar	süt	ürünleri
yorar	süt	ürünleri	vücut
süt	ürünleri	vücut	içerisinde
ürünleri	vücut	içerisinde	gaz
vücut	içerisinde	gaz	yapar
içerisinde	gaz	yapar	eğer
gaz	yapar	eğer	laktaz
yapar	eğer	laktaz	enzimi
eğer	laktaz	enzimi	sağlıklı
laktaz	enzimi	sağlıklı	bir
enzimi	sağlıklı	bir	şekilde
sağlıklı	bir	şekilde	çalışmıyorsa
bir	şekilde	çalışmıyorsa	bu
şekilde	çalışmıyorsa	bu	sorun
çalışmıyorsa	bu	sorun	kurtulmaları
bu	sorun	kurtulmaları	mümkündür
sorun	kurtulmaları	mümkündür	spor
kurtulmaları	mümkündür	spor	yapmak
mümkündür	spor	yapmak	özellikle
spor	yapmak	özellikle	yemek
yapmak	özellikle	yemek	yedikten
özellikle	yemek	yedikten	sonra
yemek	yedikten	sonra	bir
yedikten	sonra	bir	yere
sonra	bir	yere	uzanmak
bir	yere	uzanmak	aşırı
yere	uzanmak	aşırı	bir
uzanmak	aşırı	bir	şekilde
aşırı	bir	şekilde	gaz
bir	şekilde	gaz	çıkartılmasını
şekilde	gaz	çıkartılmasını	sağlar
gaz	çıkartılmasını	sağlar	bu
çıkartılmasını	sağlar	bu	durumda
sağlar	bu	durumda	yemekten
bu	durumda	yemekten	sonra
durumda	yemekten	sonra	biraz
yemekten	sonra	biraz	yürümek
sonra	biraz	yürümek	koşmak
biraz	yürümek	koşmak	ve
yürümek	koşmak	ve	spor
koşmak	ve	spor	yapmak
ve	spor	yapmak	gaz
spor	yapmak	gaz	problemi
yapmak	gaz	problemi	çekenler
gaz	problemi	çekenler	için
problemi	çekenler	için	muhakkak
çekenler	için	muhakkak	yapılması
için	muhakkak	yapılması	vücutta
muhakkak	yapılması	vücutta	birikmiş
yapılması	vücutta	birikmiş	halde
vücutta	birikmiş	halde	bulunan
birikmiş	halde	bulunan	gazın
halde	bulunan	gazın	dışarı
bulunan	gazın	dışarı	atılmasını
gazın	dışarı	atılmasını	sağlar
dışarı	atılmasını	sağlar	bu
atılmasını	sağlar	bu	sayede
sağlar	bu	sayede	gaz
bu	sayede	gaz	birikiminden
sayede	gaz	birikiminden	arınan
gaz	birikiminden	arınan	insanlarda
birikiminden	arınan	insanlarda	gaz
arınan	insanlarda	gaz	çıkarımı
insanlarda	gaz	çıkarımı	daha
gaz	çıkarımı	daha	az
çıkarımı	daha	az	görülür
daha	az	görülür	bal
az	görülür	bal	kabağı
görülür	bal	kabağı	bal
bal	kabağı	bal	kabağının
kabağı	bal	kabağının	en
bal	kabağının	en	önemli
kabağının	en	önemli	faylarından
en	önemli	faylarından	bir
önemli	faylarından	bir	tanesi
faylarından	bir	tanesi	gaz
bir	tanesi	gaz	birikmesini
tanesi	gaz	birikmesini	önlemek
gaz	birikmesini	önlemek	ve
birikmesini	önlemek	ve	yenilen
önlemek	ve	yenilen	başvurulmasi
ve	yenilen	başvurulmasi	gereken
yenilen	başvurulmasi	gereken	durumlar
başvurulmasi	gereken	durumlar	fıtık
gereken	durumlar	fıtık	olduğunuzu
durumlar	fıtık	olduğunuzu	biliyor
fıtık	olduğunuzu	biliyor	ve
olduğunuzu	biliyor	ve	bulantıkusma
biliyor	ve	bulantıkusma	hissediyor
ve	bulantıkusma	hissediyor	tuvalete
bulantıkusma	hissediyor	tuvalete	çıkamıyor
hissediyor	tuvalete	çıkamıyor	veya
tuvalete	çıkamıyor	veya	gaz
çıkamıyor	veya	gaz	çıkaramıyorsanız
veya	gaz	çıkaramıyorsanız	bu
gaz	çıkaramıyorsanız	bu	durumda
çıkaramıyorsanız	bu	durumda	fıtığınız
bu	durumda	fıtığınız	boğulmuş
durumda	fıtığınız	boğulmuş	veya
fıtığınız	boğulmuş	veya	barsaklarınız
boğulmuş	veya	barsaklarınız	tıkanmış
veya	barsaklarınız	tıkanmış	olabilir
barsaklarınız	tıkanmış	olabilir	hiç
tıkanmış	olabilir	hiç	zaman
olabilir	hiç	zaman	geçirmeden
hiç	zaman	geçirmeden	hastaneye
zaman	geçirmeden	hastaneye	olur
geçirmeden	hastaneye	olur	stres
hastaneye	olur	stres	gazlı
olur	stres	gazlı	içecekler
stres	gazlı	içecekler	çay
gazlı	içecekler	çay	ve
içecekler	çay	ve	kahve
çay	ve	kahve	türü
ve	kahve	türü	içecekler
kahve	türü	içecekler	reflüyü
türü	içecekler	reflüyü	arttırır
içecekler	reflüyü	arttırır	reflü
reflüyü	arttırır	reflü	hastalarında
arttırır	reflü	hastalarında	sürekli
reflü	hastalarında	sürekli	ağızdan
hastalarında	sürekli	ağızdan	gaz
sürekli	ağızdan	gaz	çıkarma
ağızdan	gaz	çıkarma	yemek
gaz	çıkarma	yemek	borusunda
çıkarma	yemek	borusunda	yanma
yemek	borusunda	yanma	hissi
borusunda	yanma	hissi	göğüste
yanma	hissi	göğüste	yanma
hissi	göğüste	yanma	veya
göğüste	yanma	veya	ağrı
yanma	veya	ağrı	hissi
veya	ağrı	hissi	görülür
ağrı	hissi	görülür	kalp
hissi	görülür	kalp	şikayetleriyle
görülür	kalp	şikayetleriyle	karışabilir
kalp	şikayetleriyle	karışabilir	kesin
şikayetleriyle	karışabilir	kesin	yaşadıkları
karışabilir	kesin	yaşadıkları	ve
kesin	yaşadıkları	ve	yaşamadıklarıyla
yaşadıkları	ve	yaşamadıklarıyla	takıntılarıyla
ve	yaşamadıklarıyla	takıntılarıyla	ele
yaşamadıklarıyla	takıntılarıyla	ele	alınmalıydı
takıntılarıyla	ele	alınmalıydı	romanda
ele	alınmalıydı	romanda	gezen
alınmalıydı	romanda	gezen	uyuyan
romanda	gezen	uyuyan	çişi
gezen	uyuyan	çişi	gelen
uyuyan	çişi	gelen	aksıran
çişi	gelen	aksıran	gaz
gelen	aksıran	gaz	çıkaran
aksıran	gaz	çıkaran	cinsel
gaz	çıkaran	cinsel	dürtüleri
çıkaran	cinsel	dürtüleri	olan
cinsel	dürtüleri	olan	selim
dürtüleri	olan	selim	c
olan	selim	c	ve
selim	c	ve	zebercet
c	ve	zebercet	gibi
ve	zebercet	gibi	kişiler
zebercet	gibi	kişiler	yer
gibi	kişiler	yer	almalıydı
kişiler	yer	almalıydı	romanda
yer	almalıydı	romanda	ona
almalıydı	romanda	ona	göre
romanda	ona	göre	kötü
ona	göre	kötü	yazar
göre	kötü	yazar	romanına
kötü	yazar	romanına	yasak
yazar	romanına	yasak	şey
romanına	yasak	şey	kullanmadı
yasak	şey	kullanmadı	eldivende
şey	kullanmadı	eldivende	bayağı
kullanmadı	eldivende	bayağı	canını
eldivende	bayağı	canını	acıttı
bayağı	canını	acıttı	şimdi
canını	acıttı	şimdi	makatta
acıttı	şimdi	makatta	hafif
şimdi	makatta	hafif	kanama
makatta	hafif	kanama	çatlak
hafif	kanama	çatlak	var
kanama	çatlak	var	birde
çatlak	var	birde	makat
var	birde	makat	deliği
birde	makat	deliği	genişlemiş
makat	deliği	genişlemiş	gaz
deliği	genişlemiş	gaz	çıkartırken
genişlemiş	gaz	çıkartırken	ses
gaz	çıkartırken	ses	bir
çıkartırken	ses	bir	tuhaf
ses	bir	tuhaf	çıkıyor
bir	tuhaf	çıkıyor	devamı
tuhaf	çıkıyor	devamı	heyelan
çıkıyor	devamı	heyelan	nedir
devamı	heyelan	nedir	nasıl
heyelan	nedir	nasıl	oluşur
nedir	nasıl	oluşur	yer
nasıl	oluşur	yer	kaymalarını
oluşur	yer	kaymalarını	heyelanı
yer	kaymalarını	heyelanı	etkileyen
kaymalarını	heyelanı	etkileyen	faktörler
heyelanı	etkileyen	faktörler	a
etkileyen	faktörler	a	zamanlı
faktörler	a	zamanlı	bozuldu
a	zamanlı	bozuldu	için
zamanlı	bozuldu	için	arama
bozuldu	için	arama	sonuçları
için	arama	sonuçları	temelingliz
arama	sonuçları	temelingliz	ve
sonuçları	temelingliz	ve	alman
temelingliz	ve	alman	bi
ve	alman	bi	trende
alman	bi	trende	seyahat
bi	trende	seyahat	ediyolarmış
trende	seyahat	ediyolarmış	derken
seyahat	ediyolarmış	derken	kadının
ediyolarmış	derken	kadının	teki
derken	kadının	teki	gaz
kadının	teki	gaz	çıkarmış
teki	gaz	çıkarmış	inglizkadın
gaz	çıkarmış	inglizkadın	utanmasın
çıkarmış	inglizkadın	utanmasın	diyepardon
inglizkadın	utanmasın	diyepardon	demiş
utanmasın	diyepardon	demiş	oturmaktan
diyepardon	demiş	oturmaktan	bağırsak
demiş	oturmaktan	bağırsak	fonksiyonlarım
oturmaktan	bağırsak	fonksiyonlarım	bozuldu
bağırsak	fonksiyonlarım	bozuldu	kendimi
fonksiyonlarım	bozuldu	kendimi	tutamadım
bozuldu	kendimi	tutamadım	geçmedikçe
kendimi	tutamadım	geçmedikçe	tahlillerim
tutamadım	geçmedikçe	tahlillerim	temiz
geçmedikçe	tahlillerim	temiz	olmasına
tahlillerim	temiz	olmasına	rağmen
temiz	olmasına	rağmen	endişeleniyorum
olmasına	rağmen	endişeleniyorum	çünkü
rağmen	endişeleniyorum	çünkü	ama
endişeleniyorum	çünkü	ama	azaldığını
çünkü	ama	azaldığını	söyleyebilirim
ama	azaldığını	söyleyebilirim	bugün
azaldığını	söyleyebilirim	bugün	baya
söyleyebilirim	bugün	baya	gaz
bugün	baya	gaz	çıkarmaya
baya	gaz	çıkarmaya	başladım
gaz	çıkarmaya	başladım	şimdiden
çıkarmaya	başladım	şimdiden	teşekkürler
başladım	şimdiden	teşekkürler	merhaba
şimdiden	teşekkürler	merhaba	can
teşekkürler	merhaba	can	bey
merhaba	can	bey	ateşiniz
can	bey	ateşiniz	olmadığına
bey	ateşiniz	olmadığına	göre
ateşiniz	olmadığına	göre	kan
olmadığına	göre	kan	tahlili
göre	kan	tahlili	temiz
kan	tahlili	temiz	diyorsunuz
tahlili	temiz	diyorsunuz	enfeksiyon
temiz	diyorsunuz	enfeksiyon	kullanıcı
diyorsunuz	enfeksiyon	kullanıcı	yorumu
enfeksiyon	kullanıcı	yorumu	ürün
kullanıcı	yorumu	ürün	gerçekten
yorumu	ürün	gerçekten	çok
ürün	gerçekten	çok	iyi
gerçekten	çok	iyi	özellikle
çok	iyi	özellikle	titreşim
iyi	özellikle	titreşim	özelliği
özellikle	titreşim	özelliği	oğlumu
titreşim	özelliği	oğlumu	sakinleştiriyor
özelliği	oğlumu	sakinleştiriyor	ve
oğlumu	sakinleştiriyor	ve	gaz
sakinleştiriyor	ve	gaz	çıkarmasını
ve	gaz	çıkarmasını	kolaylaştırıyor
gaz	çıkarmasını	kolaylaştırıyor	sallanması
çıkarmasını	kolaylaştırıyor	sallanması	geliştirilebilir
kolaylaştırıyor	sallanması	geliştirilebilir	ama
sallanması	geliştirilebilir	ama	büyük
geliştirilebilir	ama	büyük	bir
ama	büyük	bir	sorun
büyük	bir	sorun	değil
bir	sorun	değil	sabitlenme
sorun	değil	sabitlenme	özelliği
değil	sabitlenme	özelliği	ve
sabitlenme	özelliği	ve	pozisyonlama
özelliği	ve	pozisyonlama	bebeğin
ve	pozisyonlama	bebeğin	kilo
pozisyonlama	bebeğin	kilo	alımında
bebeğin	kilo	alımında	bir
kilo	alımında	bir	sıkıntı
alımında	bir	sıkıntı	yoksa
bir	sıkıntı	yoksa	büyümesi
sıkıntı	yoksa	büyümesi	sağlıklı
yoksa	büyümesi	sağlıklı	bir
büyümesi	sağlıklı	bir	şekilde
sağlıklı	bir	şekilde	devam
bir	şekilde	devam	ediyorsa
şekilde	devam	ediyorsa	günlük
devam	ediyorsa	günlük	olarak
ediyorsa	günlük	olarak	düzenli
günlük	olarak	düzenli	gaz
olarak	düzenli	gaz	çıkarıyorsa
düzenli	gaz	çıkarıyorsa	bu
gaz	çıkarıyorsa	bu	doktorluk
çıkarıyorsa	bu	doktorluk	bir
bu	doktorluk	bir	durum
doktorluk	bir	durum	değildir
bir	durum	değildir	fakat
durum	değildir	fakat	acil
değildir	fakat	acil	olmadığı
fakat	acil	olmadığı	halde
acil	olmadığı	halde	kaka
olmadığı	halde	kaka	yapamamak
halde	kaka	yapamamak	bebeği
kaka	yapamamak	bebeği	rahatsız
yapamamak	bebeği	rahatsız	ediyorsa
bebeği	rahatsız	ediyorsa	bu
rahatsız	ediyorsa	bu	nedenle
ediyorsa	bu	nedenle	şikayet
bu	nedenle	şikayet	eder
nedenle	şikayet	eder	hatta
şikayet	eder	hatta	bazılarında
eder	hatta	bazılarında	durum
hatta	bazılarında	durum	daha
bazılarında	durum	daha	da
durum	daha	da	ilerlemiştir
daha	da	ilerlemiştir	bu
da	ilerlemiştir	bu	çocuklar
ilerlemiştir	bu	çocuklar	olaya
bu	çocuklar	olaya	tepkisel
çocuklar	olaya	tepkisel	olarak
olaya	tepkisel	olarak	kusar
tepkisel	olarak	kusar	kızarır
olarak	kusar	kızarır	gaz
kusar	kızarır	gaz	çıkarır
kızarır	gaz	çıkarır	kimileri
gaz	çıkarır	kimileri	orada
çıkarır	kimileri	orada	bulunmak
kimileri	orada	bulunmak	dahi
orada	bulunmak	dahi	istemez
bulunmak	dahi	istemez	peki
dahi	istemez	peki	hiç
istemez	peki	hiç	düşündünüz
peki	hiç	düşündünüz	mü
hiç	düşündünüz	mü	belki
düşündünüz	mü	belki	de
mü	belki	de	çocuğunuz
belki	de	çocuğunuz	dokunduğu
de	çocuğunuz	dokunduğu	nesneyi
çocuğunuz	dokunduğu	nesneyi	tam
dokunduğu	nesneyi	tam	olarak
nesneyi	tam	olarak	ayıramazlar
tam	olarak	ayıramazlar	ve
olarak	ayıramazlar	ve	ihtiyaçlarının
ayıramazlar	ve	ihtiyaçlarının	zamanında
ve	ihtiyaçlarının	zamanında	giderilmesini
ihtiyaçlarının	zamanında	giderilmesini	beklerler
zamanında	giderilmesini	beklerler	bu
giderilmesini	beklerler	bu	ihtiyaçlar
beklerler	bu	ihtiyaçlar	beslenme
bu	ihtiyaçlar	beslenme	altının
ihtiyaçlar	beslenme	altının	temizliği
beslenme	altının	temizliği	gaz
altının	temizliği	gaz	çıkartma
temizliği	gaz	çıkartma	gibi
gaz	çıkartma	gibi	temel
çıkartma	gibi	temel	ihtiyaçlardır
gibi	temel	ihtiyaçlardır	yapılan
temel	ihtiyaçlardır	yapılan	birçok
ihtiyaçlardır	yapılan	birçok	bilimsel
yapılan	birçok	bilimsel	araştırmada
birçok	bilimsel	araştırmada	bunların
bilimsel	araştırmada	bunların	anne
araştırmada	bunların	anne	tarafından
bunların	anne	tarafından	doğru
anne	tarafından	doğru	okunarak
tarafından	doğru	okunarak	çocuğun
doğru	okunarak	çocuğun	bacakları
okunarak	çocuğun	bacakları	karna
çocuğun	bacakları	karna	doğru
bacakları	karna	doğru	itip
karna	doğru	itip	çekme
doğru	itip	çekme	hareketleri
itip	çekme	hareketleri	bacakları
çekme	hareketleri	bacakları	büküp
hareketleri	bacakları	büküp	hafif
bacakları	büküp	hafif	karna
büküp	hafif	karna	doğru
hafif	karna	doğru	bastırmak
karna	doğru	bastırmak	çoğu
doğru	bastırmak	çoğu	zaman
bastırmak	çoğu	zaman	en
çoğu	zaman	en	azından
zaman	en	azından	gaz
en	azından	gaz	çıkartmayı
azından	gaz	çıkartmayı	sağlar
gaz	çıkartmayı	sağlar	çocuklarda
çıkartmayı	sağlar	çocuklarda	ise
sağlar	çocuklarda	ise	hareket
çocuklarda	ise	hareket	etmek
ise	hareket	etmek	bağırsak
hareket	etmek	bağırsak	hareketliliğinin
etmek	bağırsak	hareketliliğinin	devamı
bağırsak	hareketliliğinin	devamı	açısından
hareketliliğinin	devamı	açısından	önemli
devamı	açısından	önemli	ev
açısından	önemli	ev	dışındaki
önemli	ev	dışındaki	gördüğüm
ev	dışındaki	gördüğüm	kişiden
dışındaki	gördüğüm	kişiden	cevapsız
gördüğüm	kişiden	cevapsız	çağrı
kişiden	cevapsız	çağrı	tablosu
cevapsız	çağrı	tablosu	üzerine
çağrı	tablosu	üzerine	hemen
tablosu	üzerine	hemen	her
üzerine	hemen	her	türlü
hemen	her	türlü	iletişimi
her	türlü	iletişimi	sonlandırdım
türlü	iletişimi	sonlandırdım	aksi
iletişimi	sonlandırdım	aksi	takdirde
sonlandırdım	aksi	takdirde	gaz
aksi	takdirde	gaz	çıkartmak
takdirde	gaz	çıkartmak	yerine
gaz	çıkartmak	yerine	telefonla
çıkartmak	yerine	telefonla	konuşmam
yerine	telefonla	konuşmam	gerekecekti
telefonla	konuşmam	gerekecekti	tüm
konuşmam	gerekecekti	tüm	dostlarıma
gerekecekti	tüm	dostlarıma	arkadaşlarıma
tüm	dostlarıma	arkadaşlarıma	ve
dostlarıma	arkadaşlarıma	ve	okuyucularıma
arkadaşlarıma	ve	okuyucularıma	iyi
ve	okuyucularıma	iyi	dilekleri
okuyucularıma	iyi	dilekleri	için
iyi	dilekleri	için	başlı
dilekleri	için	başlı	adam
için	başlı	adam	toplum
başlı	adam	toplum	içinde
adam	toplum	içinde	bile
toplum	içinde	bile	bile
içinde	bile	bile	gaz
bile	bile	gaz	çıkartır
bile	gaz	çıkartır	milletin
gaz	çıkartır	milletin	nefretini
çıkartır	milletin	nefretini	kazanır
milletin	nefretini	kazanır	bir
nefretini	kazanır	bir	insan
kazanır	bir	insan	bile
bir	insan	bile	bile
insan	bile	bile	eşinin
bile	bile	eşinin	yanında
bile	eşinin	yanında	gaz
eşinin	yanında	gaz	çıkartıyorsa
yanında	gaz	çıkartıyorsa	hafif
gaz	çıkartıyorsa	hafif	insandır
çıkartıyorsa	hafif	insandır	çocuklarının
hafif	insandır	çocuklarının	yanında
insandır	çocuklarının	yanında	yapıyorsa
çocuklarının	yanında	yapıyorsa	basit
yanında	yapıyorsa	basit	insandır
yapıyorsa	basit	insandır	toplum
basit	insandır	toplum	içinde
insandır	toplum	içinde	yapıyorsa
toplum	içinde	yapıyorsa	berbat
içinde	yapıyorsa	berbat	insandır
yapıyorsa	berbat	insandır	bize
berbat	insandır	bize	ve
insandır	bize	ve	sol
bize	ve	sol	tarafta
ve	sol	tarafta	ağrı
sol	tarafta	ağrı	hissederler
tarafta	ağrı	hissederler	stres
ağrı	hissederler	stres	ve
hissederler	stres	ve	soğuk
stres	ve	soğuk	yiyeceklerin
ve	soğuk	yiyeceklerin	tüketilmesi
soğuk	yiyeceklerin	tüketilmesi	ağrıyı
yiyeceklerin	tüketilmesi	ağrıyı	arttırır
tüketilmesi	ağrıyı	arttırır	hasta
ağrıyı	arttırır	hasta	dışkılayarak
arttırır	hasta	dışkılayarak	veya
hasta	dışkılayarak	veya	gaz
dışkılayarak	veya	gaz	çıkartarak
veya	gaz	çıkartarak	rahatlar
gaz	çıkartarak	rahatlar	ağrı
çıkartarak	rahatlar	ağrı	kramp
rahatlar	ağrı	kramp	ya
ağrı	kramp	ya	da
kramp	ya	da	sancı
ya	da	sancı	şeklinde
da	sancı	şeklinde	olabilir
sancı	şeklinde	olabilir	hasta
şeklinde	olabilir	hasta	gece
olabilir	hasta	gece	uykusu
hasta	gece	uykusu	sırasında
gece	uykusu	sırasında	oldukça
uykusu	sırasında	oldukça	rahattır
sırasında	oldukça	rahattır	hastalık
oldukça	rahattır	hastalık	lik
rahattır	hastalık	lik	skorla
hastalık	lik	skorla	kaybetti
lik	skorla	kaybetti	konuyla
skorla	kaybetti	konuyla	ilgili
kaybetti	konuyla	ilgili	konuşan
konuyla	ilgili	konuşan	ljungkvist
ilgili	konuşan	ljungkvist	şöyle
konuşan	ljungkvist	şöyle	konuştu
ljungkvist	şöyle	konuştu	midemde
şöyle	konuştu	midemde	kötü
konuştu	midemde	kötü	bir
midemde	kötü	bir	ağrı
kötü	bir	ağrı	vardı
bir	ağrı	vardı	son
ağrı	vardı	son	dakikada
vardı	son	dakikada	bir
son	dakikada	bir	gaz
dakikada	bir	gaz	çıkardım
bir	gaz	çıkardım	sonrasında
gaz	çıkardım	sonrasında	hakem
çıkardım	sonrasında	hakem	bana
sonrasında	hakem	bana	geldi
hakem	bana	geldi	ve
bana	geldi	ve	ikinci
geldi	ve	ikinci	sarı
ve	ikinci	sarı	kartı
ikinci	sarı	kartı	gösterdi
sarı	kartı	gösterdi	garip
kartı	gösterdi	garip	bir
gösterdi	garip	bir	cezaydı
garip	bir	cezaydı	inanamadım
bir	cezaydı	inanamadım	çok
cezaydı	inanamadım	çok	sinirlendim
inanamadım	çok	sinirlendim	sanırım
çok	sinirlendim	sanırım	inanamadım
sinirlendim	sanırım	inanamadım	çok
sanırım	inanamadım	çok	sinirlendim
inanamadım	çok	sinirlendim	sanırım
çok	sinirlendim	sanırım	hakem
sinirlendim	sanırım	hakem	benim
sanırım	hakem	benim	bu
hakem	benim	bu	hareketi
benim	bu	hareketi	rakip
bu	hareketi	rakip	oyuncuya
hareketi	rakip	oyuncuya	karşı
rakip	oyuncuya	karşı	yaptığımı
oyuncuya	karşı	yaptığımı	düşündü
karşı	yaptığımı	düşündü	ama
yaptığımı	düşündü	ama	birisini
düşündü	ama	birisini	gaz
ama	birisini	gaz	çıkararak
birisini	gaz	çıkararak	provoke
gaz	çıkararak	provoke	etmek
çıkararak	provoke	etmek	pek
provoke	etmek	pek	de
etmek	pek	de	akıllıca
pek	de	akıllıca	değil
de	akıllıca	değil	hakem
akıllıca	değil	hakem	benim
değil	hakem	benim	sportmenlik
hakem	benim	sportmenlik	dışı
benim	sportmenlik	dışı	davranışta
sportmenlik	dışı	davranışta	bulunduğumu
dışı	davranışta	bulunduğumu	bu
davranışta	bulunduğumu	bu	yüzden
bulunduğumu	bu	yüzden	sarı
bu	yüzden	sarı	kartı
yüzden	sarı	kartı	çünkü
sarı	kartı	çünkü	bebeğiniz
kartı	çünkü	bebeğiniz	biberonla
çünkü	bebeğiniz	biberonla	verilen
bebeğiniz	biberonla	verilen	süt
biberonla	verilen	süt	formülünü
verilen	süt	formülünü	de
süt	formülünü	de	hırsla
formülünü	de	hırsla	emer
de	hırsla	emer	bu
hırsla	emer	bu	arada
emer	bu	arada	yatır
bu	arada	yatır	kaldır
arada	yatır	kaldır	emzir
yatır	kaldır	emzir	mama
kaldır	emzir	mama	ver
emzir	mama	ver	gaz
mama	ver	gaz	çıkart
ver	gaz	çıkart	derken
gaz	çıkart	derken	onun
çıkart	derken	onun	gerçek
derken	onun	gerçek	rahatsızlığı
onun	gerçek	rahatsızlığı	da
gerçek	rahatsızlığı	da	bir
rahatsızlığı	da	bir	şekilde
da	bir	şekilde	giderilir
bir	şekilde	giderilir	ancak
şekilde	giderilir	ancak	farkına
giderilir	ancak	farkına	varılmadan
ancak	farkına	varılmadan	bebek
farkına	varılmadan	bebek	gerçekten
varılmadan	bebek	gerçekten	aç
bebek	gerçekten	aç	olmamasına
gerçekten	aç	olmamasına	toplanır
aç	olmamasına	toplanır	bağırsakta
olmamasına	toplanır	bağırsakta	gaz
toplanır	bağırsakta	gaz	oluşmasının
bağırsakta	gaz	oluşmasının	asıl
gaz	oluşmasının	asıl	nedeniyse
oluşmasının	asıl	nedeniyse	kalın
